Address,Blank,City,County Name,HCAHPS Answer Description,HCAHPS Answer Percent Footnote,HCAHPS Answer Percent,HCAHPS Measure ID,HCAHPS Question,Hospital Name,Latitude,Location,Longitude,Measure End Date,Measure Start Date,Number of Completed Surveys Footnote,Number of Completed Surveys,Number of Records,Patient Survey Star Rating Footnote,Patient Survey Star Rating,Phone Number,Provider ID,State,Survey Response Rate Percent Footnote,Survey Response Rate Percent,ZIP Code
1700 MOUNT VERNON AVENUE,  ,BAKERSFIELD,KERN,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,KERN MEDICAL CENTER,35.380964,"1700 MOUNT VERNON AVENUEBAKERSFIELD, CA",-118.967546,3/31/2017,4/1/2016,,382,1,,1,6.61E+09,50315,CA,,0.11,93306
2615 CHESTER AVENUE,  ,BAKERSFIELD,KERN,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ADVENTIST HEALTH BAKERSFIELD,35.383049,"2615 CHESTER AVENUEBAKERSFIELD, CA",-119.018857,3/31/2017,4/1/2016,,774,1,,1,6.61E+09,50455,CA,,0.29,93301
1145 W REDONDO BEACH BLVD,  ,GARDENA,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,MEMORIAL HOSPITAL OF GARDENA,33.892375,"1145 W REDONDO BEACH BLVDGARDENA, CA",-118.295106,3/31/2017,4/1/2016,,478,1,,1,3.11E+09,50468,CA,,0.17,90247
555 EAST HARDY STREET,  ,INGLEWOOD,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,CENTINELA HOSPITAL MEDICAL CENTER,33.949085,"555 EAST HARDY STREETINGLEWOOD, CA",-118.347866,3/31/2017,4/1/2016,,420,1,,1,3.11E+09,50739,CA,,0.19,90301
3700 E SOUTH ST,  ,LAKEWOOD,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LAKEWOOD REGIONAL MEDICAL CENTER,33.860223,"3700 E SOUTH STLAKEWOOD, CA",-118.148749,3/31/2017,4/1/2016,,765,1,,1,5.63E+09,50581,CA,,0.27,90712
1600 W AVE J,  ,LANCASTER,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ANTELOPE VALLEY HOSPITAL,34.689371,"1600 W AVE JLANCASTER, CA",-118.158476,3/31/2017,4/1/2016,,419,1,,1,6.62E+09,50056,CA,,0.16,93534
1720 TERMINO AVENUE,  ,LONG BEACH,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,COMMUNITY HOSPITAL OF LONG BEACH,33.788231,"1720 TERMINO AVENUELONG BEACH, CA",-118.145886,3/31/2017,4/1/2016,,278,1,,1,5.62E+09,50727,CA,,0.18,90804
1401 SOUTH GRAND AVENUE,  ,LOS ANGELES,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,CALIFORNIA HOSPITAL MEDICAL CENTER LA,34.037212,"1401 SOUTH GRAND AVENUELOS ANGELES, CA",-118.265363,3/31/2017,4/1/2016,,1263,1,,1,2137482411,50149,CA,,0.1,90015
5900 WEST OLYMPIC BOULEVARD,  ,LOS ANGELES,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,OLYMPIA MEDICAL CENTER,34.057527,"5900 WEST OLYMPIC BOULEVARDLOS ANGELES, CA",-118.359857,3/31/2017,4/1/2016,,480,1,,1,3.11E+09,50742,CA,,0.18,90036
2131 W 3RD ST,  ,LOS ANGELES,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SAINT VINCENT MEDICAL CENTER,34.06319,"2131 W 3RD STLOS ANGELES, CA",-118.273665,3/31/2017,4/1/2016,,671,1,,1,2134847111,50502,CA,,0.19,90057
4081 E OLYMPIC BLVD,  ,LOS ANGELES,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LOS ANGELES COMMUNITY HOSPITAL,34.018874,"4081 E OLYMPIC BLVDLOS ANGELES, CA",-118.186461,3/31/2017,4/1/2016,,720,1,,1,3.23E+09,50663,CA,,0.13,90023
1300 N VERMONT AVE,  ,LOS ANGELES,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,34.096116,"1300 N VERMONT AVELOS ANGELES, CA",-118.291753,3/31/2017,4/1/2016,,995,1,,1,2134133000,50063,CA,,0.11,90027
3630 EAST IMPERIAL HIGHWAY,  ,LYNWOOD,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SAINT FRANCIS MEDICAL CENTER,33.931016,"3630 EAST IMPERIAL HIGHWAYLYNWOOD, CA",-118.203834,3/31/2017,4/1/2016,,733,1,,1,3.11E+09,50104,CA,,0.11,90262
13100 STUDERBAKER ROAD,  ,NORWALK,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,COAST PLAZA HOSPITAL,33.912428,"13100 STUDERBAKER ROADNORWALK, CA",-118.099156,3/31/2017,4/1/2016,,264,1,,1,3.10E+09,50771,CA,,0.14,90650
1000 W CARSON ST,  ,TORRANCE,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LAC/HARBOR-UCLA MED CENTER,33.831583,"1000 W CARSON STTORRANCE, CA",-118.294546,3/31/2017,4/1/2016,,499,1,,1,3.10E+09,50376,CA,,0.14,90502
7300 MEDICAL CENTER DR,  ,WEST HILLS,LOS ANGELES,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,WEST HILLS HOSPITAL & MEDICAL CENTER,34.202931,"7300 MEDICAL CENTER DRWEST HILLS, CA",-118.628598,3/31/2017,4/1/2016,,1057,1,,1,8.19E+09,50481,CA,,0.18,91307
"250 BON AIR ROAD, PO BOX 8010",  ,GREENBRAE,MARIN,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,MARIN GENERAL HOSPITAL,37.948884,"250 BON AIR ROAD, PO BOX 8010GREENBRAE, CA",-122.535897,3/31/2017,4/1/2016,,1015,1,,1,4.16E+09,50360,CA,,0.28,94904
12601 GARDEN GROVE BLVD,  ,GARDEN GROVE,ORANGE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,GARDEN GROVE HOSPITAL & MEDICAL CENTER,33.774471,"12601 GARDEN GROVE BLVDGARDEN GROVE, CA",-117.913645,3/31/2017,4/1/2016,,422,1,,1,7.15E+09,50230,CA,,0.2,92843
17772 BEACH BLVD,  ,HUNTINGTON BEACH,ORANGE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,HUNTINGTON BEACH HOSPITAL,33.703889,"17772 BEACH BLVDHUNTINGTON BEACH, CA",-117.989065,3/31/2017,4/1/2016,,280,1,,1,7.15E+09,50526,CA,,0.15,92647
3751 KATELLA AVENUE,  ,LOS ALAMITOS,ORANGE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LOS ALAMITOS MEDICAL CENTER,33.803175,"3751 KATELLA AVENUELOS ALAMITOS, CA",-118.067413,3/31/2017,4/1/2016,,441,1,,1,5.63E+09,50551,CA,,0.3,90720
1001 NORTH TUSTIN AVENUE,  ,SANTA ANA,ORANGE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ORANGE COUNTY GLOBAL MEDICAL CENTER,33.753636,"1001 NORTH TUSTIN AVENUESANTA ANA, CA",-117.834209,3/31/2017,4/1/2016,,951,1,,1,7.15E+09,50746,CA,,0.26,92705
1117 EAST DEVONSHIRE,  ,HEMET,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,HEMET VALLEY MEDICAL CENTER,33.75122,"1117 EAST DEVONSHIREHEMET, CA",-116.959859,3/31/2017,4/1/2016,,466,1,,1,9.52E+09,50390,CA,,0.16,92543
26520 CACTUS AVENUE,  ,MORENO VALLEY,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,33.910054,"26520 CACTUS AVENUEMORENO VALLEY, CA",-117.195824,3/31/2017,4/1/2016,,502,1,,1,9.51E+09,50292,CA,,0.09,92555
25500 MEDICAL CENTER DRIVE,  ,MURRIETA,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SOUTHWEST HEALTHCARE SYSTEM,33.557832,"25500 MEDICAL CENTER DRIVEMURRIETA, CA",-117.184346,3/31/2017,4/1/2016,,1702,1,,1,9.52E+09,50701,CA,,0.2,92562
1150 NORTH INDIAN CANYON DRIVE,  ,PALM SPRINGS,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,DESERT REGIONAL MEDICAL CENTER,33.838861,"1150 NORTH INDIAN CANYON DRIVEPALM SPRINGS, CA",-116.545598,3/31/2017,4/1/2016,,797,1,,1,7.60E+09,50243,CA,,0.31,92262
3865 JACKSON STREET,  ,RIVERSIDE,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,33.925697,"3865 JACKSON STREETRIVERSIDE, CA",-117.440052,3/31/2017,4/1/2016,,1032,1,,1,9.52E+09,50102,CA,,0.17,92503
4445 MAGNOLIA AVENUE,  ,RIVERSIDE,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,RIVERSIDE COMMUNITY HOSPITAL,33.975701,"4445 MAGNOLIA AVENUERIVERSIDE, CA",-117.380349,3/31/2017,4/1/2016,,3452,1,,1,9.52E+09,50022,CA,,0.22,92501
28400 MCCALL B0ULEVARD,  ,SUN CITY,RIVERSIDE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,MENIFEE VALLEY MEDICAL CENTER,,"28400 MCCALL B0ULEVARDSUN CITY, CA",,3/31/2017,4/1/2016,,295,1,,1,9.52E+09,50684,CA,,0.18,92585
18300 HIGHWAY 18,  ,APPLE VALLEY,SAN BERNARDINO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ST MARY MEDICAL CENTER,34.542046,"18300 HIGHWAY 18APPLE VALLEY, CA",-117.265602,3/31/2017,4/1/2016,,1800,1,,1,7.60E+09,50300,CA,,0.37,92307
400 NORTH PEPPER AVENUE,  ,COLTON,SAN BERNARDINO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ARROWHEAD REGIONAL MEDICAL CENTER,34.072884,"400 NORTH PEPPER AVENUECOLTON, CA",-117.352833,3/31/2017,4/1/2016,,1039,1,,1,9.10E+09,50245,CA,,0.1,92324
11234 ANDERSON ST,  ,LOMA LINDA,SAN BERNARDINO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LOMA LINDA UNIVERSITY MEDICAL CENTER,34.049507,"11234 ANDERSON STLOMA LINDA, CA",-117.261117,3/31/2017,4/1/2016,,1416,1,,1,9.10E+09,50327,CA,,0.28,92354
11234 ANDERSON STREET SUITE A,  ,LOMA LINDA,SAN BERNARDINO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,34.049507,"11234 ANDERSON STREET SUITE ALOMA LINDA, CA",-117.261117,3/31/2017,4/1/2016,,698,1,,1,9.10E+09,50778,CA,,0.25,92354
1805 MEDICAL CENTER DRIVE,  ,SAN BERNARDINO,SAN BERNARDINO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,COMMUNITY HOSPITAL OF SAN BERNARDINO,34.131266,"1805 MEDICAL CENTER DRIVESAN BERNARDINO, CA",-117.322558,3/31/2017,4/1/2016,,395,1,,1,9.10E+09,50089,CA,,0.09,92411
6655 ALVARADO ROAD,  ,SAN DIEGO,SAN DIEGO,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ALVARADO HOSPITAL MEDICAL CENTER,32.777136,"6655 ALVARADO ROADSAN DIEGO, CA",-117.056602,3/31/2017,4/1/2016,,514,1,,1,6.19E+09,50757,CA,,0.24,92120
500 W HOSPITAL ROAD,  ,FRENCH CAMP,SAN JOAQUIN,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SAN JOAQUIN GENERAL HOSPITAL,37.886492,"500 W HOSPITAL ROADFRENCH CAMP, CA",-121.282061,3/31/2017,4/1/2016,,324,1,,1,2094686000,50167,CA,,0.12,95231
1800 N CALIFORNIA ST,  ,STOCKTON,SAN JOAQUIN,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,37.970737,"1800 N CALIFORNIA STSTOCKTON, CA",-121.289251,3/31/2017,4/1/2016,,1280,1,,1,2099432000,50084,CA,,0.17,95204
751 SOUTH BASCOM AVENUE,  ,SAN JOSE,SANTA CLARA,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SANTA CLARA VALLEY MEDICAL CENTER,37.313774,"751 SOUTH BASCOM AVENUESAN JOSE, CA",-121.931899,3/31/2017,4/1/2016,,483,1,,1,4.09E+09,50038,CA,,0.29,95128
1100 BUTTE ST,  ,REDDING,SHASTA,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SHASTA REGIONAL MEDICAL CENTER,40.585273,"1100 BUTTE STREDDING, CA",-122.38685,3/31/2017,4/1/2016,,440,1,,1,5.30E+09,50764,CA,,0.31,96001
726 4TH ST,  ,MARYSVILLE,YUBA,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,RIDEOUT MEMORIAL HOSPITAL,39.138832,"726 4TH STMARYSVILLE, CA",-121.593622,3/31/2017,4/1/2016,,330,1,,1,5.31E+09,50133,CA,,0.19,95901
2767 OLIVE HIGHWAY,  ,OROVILLE,BUTTE,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,OROVILLE HOSPITAL,39.504535,"2767 OLIVE HIGHWAYOROVILLE, CA",-121.542106,3/31/2017,4/1/2016,,499,1,,1,5.31E+09,50030,CA,,0.26,95966
1145 W REDONDO BEACH BLVD,  ,GARDENA,LOS ANGELES,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,MEMORIAL HOSPITAL OF GARDENA,33.892375,"1145 W REDONDO BEACH BLVDGARDENA, CA",-118.295106,3/31/2017,4/1/2016,,478,1,,1,3.11E+09,50468,CA,,0.17,90247
1720 TERMINO AVENUE,  ,LONG BEACH,LOS ANGELES,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,COMMUNITY HOSPITAL OF LONG BEACH,33.788231,"1720 TERMINO AVENUELONG BEACH, CA",-118.145886,3/31/2017,4/1/2016,,278,1,,1,5.62E+09,50727,CA,,0.18,90804
5900 WEST OLYMPIC BOULEVARD,  ,LOS ANGELES,LOS ANGELES,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,OLYMPIA MEDICAL CENTER,34.057527,"5900 WEST OLYMPIC BOULEVARDLOS ANGELES, CA",-118.359857,3/31/2017,4/1/2016,,480,1,,1,3.11E+09,50742,CA,,0.18,90036
4081 E OLYMPIC BLVD,  ,LOS ANGELES,LOS ANGELES,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,LOS ANGELES COMMUNITY HOSPITAL,34.018874,"4081 E OLYMPIC BLVDLOS ANGELES, CA",-118.186461,3/31/2017,4/1/2016,,720,1,,1,3.23E+09,50663,CA,,0.13,90023
3033 W ORANGE AVENUE,  ,ANAHEIM,ORANGE,Communication about medicines - star rating,,,H_COMP_5_STAR_RATING,Communication about medicines,WEST ANAHEIM MEDICAL CENTER,33.824735,"3033 W ORANGE AVENUEANAHEIM, CA",-117.995115,3/31/2017,4/1/2016,,424,1,,1,7.15E+09,50426,CA,,0.18,92804
